index,username,acctdesc,location,following,followers,totaltweets,usercreatedts,tweetcreatedts,retweetcount,text,hashtags,mentioned_users,cleaned_text,sentences_tone,document_tones,joy,analytical,sadness,tentative,confident,fear,anger
4275,CallNotEvilGood,"""woe unto them that call evil good, and good evil; that put darkness for light, and light for darkness ..."" isaiah 5:20 maga. love god, family & country.",n.a,4289,4343,21485,2017-01-27 08:38:08,2020-06-21 02:44:42,5,"""When I banned travel from China due to Corona Virus, Joe Biden called it xenophobia. He doesn't know what the word means."" ~President @realDonaldTrump 

🤣😂😅",[],['@realDonaldTrump'],"ban travel china due corona virus joe biden call xenophobia know word mean president 

🤣","[{'sentence_id': 0, 'text': 'ban travel china due corona virus joe biden call xenophobia know word mean president ', 'tones': [{'score': 0.895415, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 1, 'text': '', 'tones': []}, {'sentence_id': 2, 'text': '🤣', 'tones': []}]","[{'score': 0.895415, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,1.0,,,,,
4276,Hamiltuckypara,"we investigate the unknown , no smoke or mirrors with us , check the link to our youtube channel below and please subscribe! any business inquiries please dm us","ohio, usa",3828,1041,14532,2013-04-22 00:27:47,2020-06-21 03:11:38,126,More hang American flags than tear them down.There are more good cops than bad. There are more negative tests than positive corona virus tests. More people want to unite than divide. More want to acknowledge injustice than ignore. We are better than some want you to believe.,[],[],hang american flag tear down.there good cop bad negative test positive corona virus test people want unite divide want acknowledge injustice ignore well want believe,"[{'sentence_id': 0, 'text': 'hang american flag tear down.there', 'tones': [{'score': 0.551608, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 1, 'text': 'good cop bad negative test positive corona virus test people want unite divide want acknowledge injustice ignore well want believe', 'tones': [{'score': 0.578853, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.752368, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}]","[{'score': 0.648089, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.940365, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",,,1.0,1.0,,,
4277,tallmantim,keen cyclist working in it,melbourne australia,571,129,2299,2010-01-27 07:19:17,2020-06-22 03:20:52,154,BLM 👏 PROTESTS 👏 DIDN’T 👏 CAUSE 👏 MELBOURNE’S 👏 COVID-19 👏SPIKE 👏,[],[],blm protest didn’t cause melbourne’s spike,,"[{'score': 0.762356, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,1.0,,,,,
4278,Pizza7776,pooop,yo mama,30,5,9,2016-05-07 21:01:05,2020-06-21 04:22:20,0,Bruh if you got the Corona virus just… don’t,[],[],bruh get corona virus just… don’t,,"[{'score': 0.946222, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",,,,1.0,,,
4279,sgoldreich,"former reporter, baltimore sun, congressional quarterly, washington times, washington examiner, montgomery gazette",n.a,270,156,15719,2009-10-27 22:04:05,2020-06-20 02:47:44,0,"@realDonaldTrump #TraitorTrump has nothing to do with Covid-19 policy. He surrendered to the virus, just like he 
surrendered to Putin in Ukraine
surrendered to China on trade
surrendered to Syria's Assad
surrendered Iraq to Iran. 
#TrumPlague has killed 119,000 Americans.
#VoteBidenToSaveAmerica","['traitortrump', 'trumplague', 'votebidentosaveamerica']",['@realDonaldTrump'],"nothing policy surrender virus like 
surrendered putin ukraine
surrendered china trade
surrendered syria's assad
surrendered iraq iran kill americans.
","[{'sentence_id': 0, 'text': 'nothing policy surrender virus like ', 'tones': [{'score': 0.822231, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 1, 'text': 'surrendered putin ukraine', 'tones': []}, {'sentence_id': 2, 'text': 'surrendered china trade', 'tones': []}, {'sentence_id': 3, 'text': ""surrendered syria's assad"", 'tones': []}, {'sentence_id': 4, 'text': 'surrendered iraq iran kill americans.', 'tones': [{'score': 0.506029, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}]","[{'score': 0.733641, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",,,,1.0,,,
4280,rddotinblustate,n.a,n.a,256,25,709,2009-10-05 16:22:41,2020-06-21 04:22:43,0,"@weijia @Acosta It’s funny! It is not about the Chinese people, it’s about a virus that came from China.  The offended faze is getting tiresome.",[],"['@weijia', '@Acosta']",it’s funny chinese people it’s virus come china offend faze get tiresome,,[],,,,,,,
4281,xkawai,"as for me & my house, we will never get venmo.",this is bear territory.,217,251,53044,2009-01-03 19:50:56,2020-06-22 02:10:14,6,"if you haven't previously given a fck about ppl incarcerated during COVID, I implore you to start

it is actively being spread among those inside by prison staff who return to their homes in YOUR communities after work

prison walls cannot contain COVID-19 https://t.co/INJgNNXEeo",[],[],"previously give fck ppl incarcerate covid implore start

it actively spread among inside prison staff return home community work

prison wall cannot contain","[{'sentence_id': 0, 'text': 'previously give fck ppl incarcerate covid implore start', 'tones': []}, {'sentence_id': 1, 'text': '', 'tones': []}, {'sentence_id': 2, 'text': 'it actively spread among inside prison staff return home community work', 'tones': [{'score': 0.644647, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 3, 'text': '', 'tones': []}, {'sentence_id': 4, 'text': 'prison wall cannot contain', 'tones': [{'score': 0.529457, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}]","[{'score': 0.667038, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]",,,1.0,,,,
4282,lmmkelley,"making sustainability real. coauthor: the sustainable enterprise fieldbook 2nded https://t.co/zxfknktq5z,  https://t.co/gysqxcr49z","pittsfield, ma",4128,1256,39965,2010-09-14 20:12:23,2020-06-22 01:21:46,19,"“This is a crisis that will involve the whole world and from which no one can self-isolate.” 
https://t.co/iNPcujjmTi",[],[],“this crisis involve whole world one self-isolate.”,,[],,,,,,,
4283,gogoutoriart,art twitter~ tori • old af • intp • coffee vampire • yelling about promare • next con ➡️ tbd,ny,789,235,7022,2015-02-11 16:54:21,2020-06-23 01:27:52,45687,The reason why America isn’t recovering from COVID-19 as quickly as other countries is because we are a country that values individualism over collectivism. Nobody here wants to do anything that is a minor inconvenience to them in order to protect their neighbors.,[],[],reason america isn’t recover quickly country country value individualism collectivism nobody want anything minor inconvenience order protect neighbor,,"[{'score': 0.769135, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.5538, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",,1.0,,1.0,,,
4284,blacknibasu,#blacklivesmatter,"louisiana, usa",210,105,21804,2018-04-21 14:51:17,2020-06-23 01:07:38,41263,The reason why America isn’t recovering from COVID-19 as quickly as other countries is because we are a country that values individualism over collectivism. Nobody here wants to do anything that is a minor inconvenience to them in order to protect their neighbors.,[],[],reason america isn’t recover quickly country country value individualism collectivism nobody want anything minor inconvenience order protect neighbor,,"[{'score': 0.769135, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.5538, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",,1.0,,1.0,,,
4285,JeremyStutes,"american actor, singer, etc. joe in the driver (2019). represented by @atbtalent i’m sometimes very serious, and sometimes very...not. he/him",los angeles/ new york/ bangkok,3168,959,11117,2010-04-18 20:50:06,2020-06-22 01:18:02,1,"COVID-19 can't cancel pride! Come join in for the next hour or so on Twitch and Discord as @gaygamingpros  celebrate the last few hours of global virtual pride with DJs and more!

CLICK HERE: https://t.co/LllOtR4DwH https://t.co/Wwj1JYq6Ta",[],['@gaygamingpros'],"can't cancel pride come join next hour twitch discord celebrate last hour global virtual pride dj more!

click","[{'sentence_id': 0, 'text': ""can't cancel pride come join next hour twitch discord celebrate last hour global virtual pride dj more!"", 'tones': [{'score': 0.776703, 'tone_id': 'joy', 'tone_name': 'Joy'}]}, {'sentence_id': 1, 'text': 'click', 'tones': []}]","[{'score': 0.769644, 'tone_id': 'joy', 'tone_name': 'Joy'}]",1.0,,,,,,
4286,gregaltounian,family. futbol. california.,"south pasadena, ca",724,216,1238,2008-11-17 01:03:32,2020-06-22 02:11:25,39778,"Trump had a bad night in Tulsa. Very low turnout. Even his supporters know that COVID-19 is real and dangerous, and should not be spread at an indoor rally. More importantly, maybe people are catching on that he is a pathological liar and a fraud. Let's keep fighting.",[],[],trump bad night tulsa low turnout even supporter know real dangerous spread indoor rally importantly maybe people catch pathological liar fraud let's keep fighting,,"[{'score': 0.615352, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",,,,1.0,,,
4287,woods353,"ret. army col, mediator/vo guy, northwestern, cmu, war college, cornell, pepperdine law, mba, msilr, mls, mdr, eagle scout. #resist country b4 party, “tandy 06”","new york, ny",7961,7279,183376,2018-02-19 05:35:54,2020-06-22 02:13:58,140,"States that Trump won in 2016 are showing increased covid-19 cases.
 What is the common denominator?",[],[],"state trump show increase cases.
 common denominator","[{'sentence_id': 0, 'text': 'state trump show increase cases.', 'tones': [{'score': 0.687768, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 1, 'text': 'common denominator', 'tones': []}]","[{'score': 0.747663, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,1.0,,,,,
4288,ToddMichaelsen,songwriter/musician/composer new single “helping humans” streaming worldwide https://t.co/0ntoklyeea,"brooklyn, ny",3057,2792,14683,2009-03-08 19:45:21,2020-06-22 03:37:33,30,"DL Hughley diagnosed with COVID-19 after passing out during a show at Zanies in Nashville. It turns out that he is asymptomatic. 

Prayers to a speedy recovery 🙏🏾https://t.co/Soh8rZSDxD",[],[],"dl hughley diagnose pass show zany nashville turn asymptomatic 

prayers speedy recovery","[{'sentence_id': 0, 'text': 'dl hughley diagnose pass show zany nashville turn asymptomatic ', 'tones': []}, {'sentence_id': 1, 'text': '', 'tones': []}, {'sentence_id': 2, 'text': 'prayers speedy recovery', 'tones': [{'score': 0.523437, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}]","[{'score': 0.667156, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]",,,1.0,,,,
4289,C_arlosHdz,"hi, how are ya? l chihuahua 🇲🇽","texas, usa",515,326,12971,2011-07-11 00:14:04,2020-06-22 03:21:59,26193,Lack of taste is a symptom of covid-19 https://t.co/o2txxNFLn3,[],[],lack taste symptom,,"[{'score': 0.955445, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,1.0,,,,,
4290,DesiMogambo,"दोस्तों  आपको ये prove नहीं करना है कि हिंदुस्तान आपके बाप का है , आपको prove ये करना है कि आपका बाप हिंदुस्तान का है।",bharat,798,410,33432,2020-01-15 07:02:16,2020-06-22 02:13:44,0,"Chinese Virus blocks you.😂😂😂😂

Hey @zlj517 a Chinese Virus should always be called a Chinese virus and what is wrong with the word Chinese Virus. https://t.co/HSF2Ee9XGp",[],['@zlj517'],"chinese virus block you.

hey chinese virus always call chinese virus wrong word chinese virus","[{'sentence_id': 0, 'text': 'chinese virus block you.', 'tones': [{'score': 0.920855, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 1, 'text': 'hey chinese virus always call chinese virus wrong word chinese virus', 'tones': [{'score': 0.825035, 'tone_id': 'confident', 'tone_name': 'Confident'}]}]","[{'score': 0.957479, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.720783, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,1.0,,,1.0,,
4291,AFL_docker,federal icac now!! working parent and grandparent. freo supporter and member.,"western australia, australia",442,221,15365,2014-05-16 07:43:20,2020-06-21 03:37:44,155,We have been told incessantly that no need to worry about Covid and schools. Take a look at recent resurgence of virus in Israel,[],[],tell incessantly need worry covid school take look recent resurgence virus israel,,"[{'score': 0.540441, 'tone_id': 'fear', 'tone_name': 'Fear'}]",,,,,,1.0,
4292,imagebycathy,"parent, loves the redskins, browns and cleveland indians, reading, friends",n.a,513,208,2362,2013-07-27 22:01:08,2020-06-21 02:40:39,150,"When the President of the United States uses racist terms like Kung Flu, Chinese Virus, or China Plague, my biggest fear as an Asian American is that it normalizes racism against us and there’s no way for us to fight it. We have very little representation in government and media.",[],[],president united state us racist term like kung flu chinese virus china plague big fear asian american normalizes racism there’s way fight little representation government medium,,"[{'score': 0.552886, 'tone_id': 'fear', 'tone_name': 'Fear'}]",,,,,,1.0,
4293,The_RiotACT,the riotact is an online forum for news and views in the canberra and act region.,canberra,362,11876,31560,2011-04-29 01:23:09,2020-06-22 02:30:11,0,"Choose Local is a new ACT Government campaign to get Canberrans to choose local, eat local, shop local and style local. So how will you Choose Local? #CBRtogether https://t.co/eNntH6Pqzf https://t.co/pdsh1VSvFI",['cbrtogether'],[],choose local new act government campaign get canberrans choose local eat local shop local style local choose local,,"[{'score': 0.860738, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,1.0,,,,,
4294,Genaktion,the leader of the hip hop genocide action committee. bumping dope beats and rhymes all day every day. contact me @ hiphopinquirer@gmail.com,no country for old men,1189,2110,17104,2011-04-05 05:01:11,2020-06-22 03:37:29,640,"When the President of the United States uses racist terms like Kung Flu, Chinese Virus, or China Plague, my biggest fear as an Asian American is that it normalizes racism against us and there’s no way for us to fight it. We have very little representation in government and media.",[],[],president united state us racist term like kung flu chinese virus china plague big fear asian american normalizes racism there’s way fight little representation government medium,,"[{'score': 0.552886, 'tone_id': 'fear', 'tone_name': 'Fear'}]",,,,,,1.0,
4295,FoxtrotOscar118,"constitutional conservative. small 'r' republican. pragmatic libertarian. accomplished boomer.

i almost always follow back.

pronouns: it / its.

john 3:16",n.a,998,334,15397,2019-06-29 14:18:57,2020-06-21 02:19:06,822,"Why did the Washington Post all of a sudden remove the daily China Virus death tracker from its front page now that COVID deaths are decreasing nationwide?

I guess it just doesn’t fit their narrative anymore.

🤔",[],[],"washington post sudden remove daily china virus death tracker front page covid death decrease nationwide?

i guess doesn’t fit narrative anymore.

🤔","[{'sentence_id': 0, 'text': 'washington post sudden remove daily china virus death tracker front page covid death decrease nationwide?', 'tones': [{'score': 0.511428, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 1, 'text': 'i guess doesn’t fit narrative anymore.', 'tones': [{'score': 0.640493, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.946222, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 2, 'text': '🤔', 'tones': []}]","[{'score': 0.630541, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.893364, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",,,1.0,1.0,,,
4296,Medidata,"powering the development of new therapies for over 1,000 #lifescience companies with our unified platform, pioneering analytics and unrivaled expertise","new york, ny",4115,10658,20142,2009-03-15 15:30:38,2020-06-22 02:32:01,0,"We're excited to announce that Asia-Pacific CRO, Novotech selected Medidata to support 3 new #COVID19 clinical trials. Novotech will leverage Medidata Rave EDC and Rave RTSM to ensure the clinical trials are progressing efficiently. Learn more: https://t.co/eC5157C6yN https://t.co/b36fpeLiPy",['covid19'],[],we're excite announce asia-pacific cro novotech select medidata support new clinical trial novotech leverage medidata rave edc rave rtsm ensure clinical trial progress efficiently learn,,"[{'score': 0.713011, 'tone_id': 'joy', 'tone_name': 'Joy'}]",1.0,,,,,,
4297,MicMate,twitter lurking #ot7                                 if you ain’t ot7 then you clearly a 🤡,n.a,96,6,193,2020-05-07 01:04:54,2020-06-23 01:26:35,6138,"""BTS &amp; BH have donated $1 million to Live Nation Crew Nation campaign. The fund was launched in March to support the live concert crews across the globe that have been impacted by COVID-19.. one of the largest artist donations since the fund was created.""

https://t.co/fZIhhXVzIg https://t.co/lA4jwqLFxP",[],[],"bts amp bh donate million live nation crew nation campaign fund launch march support live concert crew across globe impact one large artist donation since fund created.""

",,"[{'score': 0.57292, 'tone_id': 'joy', 'tone_name': 'Joy'}]",1.0,,,,,,
4298,RealHarishSingh,"god first!
india first!
i'm the best!
be best!
proud to be pahadi!
proud to be hindu!",u.s nagar uttarakhand india ,345,112,23006,2019-10-27 09:07:39,2020-06-20 03:05:46,2,"Admiral Michael Gilday, chief of naval operations, said Brett Crozier, who was fired as captain of the USS Theodore Roosevelt in April, was guilty of ""questionable judgment"" in handling an outbreak of COVID-19 aboard.

https://t.co/z1hP6t6TYd",[],[],"admiral michael gilday chief naval operation say brett crozier fire captain uss theodore roosevelt april guilty questionable judgment handle outbreak aboard.

",,"[{'score': 0.670204, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,1.0,,,,,
4299,RuralHomeCareBG,rural home care brucegrey provides personalized home health care services & solutions specializing in seniors & special needs care veterans' cards accepted,"bruce,grey,huron,perth on",2279,1318,62793,2011-11-07 15:34:13,2020-06-22 03:39:32,49,"The office, as we knew it, is over. #GlobalNewReality looks into what to expect when, and if, we return to in-person work. 

Read more: https://t.co/V3XOlYdZNm https://t.co/NzdABA8dHv",['globalnewreality'],[],"office know look expect return in-person work 

read","[{'sentence_id': 0, 'text': 'office know look expect return in-person work ', 'tones': [{'score': 0.93884, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 1, 'text': '', 'tones': []}, {'sentence_id': 2, 'text': 'read', 'tones': []}]","[{'score': 0.98445, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,1.0,,,,,
4300,GowalaTushar,"studying fishery at college of fisheries, aau,raha,assam","assam, india",401,32,100,2017-02-14 10:54:36,2020-06-23 01:26:58,504,Attention! It has come to our notice that a cyber attack is going to take place in major cities of India. Kindly refrain yourself from clicking on emails coming from ncov2019@gov.in with a subject line Free COVID-19 Testing. https://t.co/RbZolCjLMW,[],['@gov.in'],attention come notice cyber attack go take place major city india kindly refrain click email come subject line free testing,,"[{'score': 0.839659, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,1.0,,,,,
4301,CherylKreiman,n.a,n.a,151,38,357,2015-10-16 11:56:50,2020-06-20 03:17:04,25957,"Trump's rally in Tulsa is indoors, with no social distancing and no mask requirements—all in violation of CDC guidelines. Trump is willing to spread the COVID-19 virus in order to hear some cheers. He is a direct threat to the health of the American people. He must be defeated.",[],[],trump's rally tulsa indoors social distance mask requirements—all violation cdc guideline trump willing spread virus order hear cheer direct threat health american people must defeat,,"[{'score': 0.642915, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.674728, 'tone_id': 'confident', 'tone_name': 'Confident'}]",,1.0,,,1.0,,
4302,dilbagmahal,vice president mumbai vanchit bahujan aaghadi #,mumbai india,79,16,177,2009-10-05 06:18:56,2020-06-22 03:38:03,4,"#COVID19 #LiveUpdates | #Maharashtra on Sunday reported 3,870 new #COVID19 cases and 101 deaths, taking the total tally to 1,32,075 and fatalities to 6,170.

#Coronavirus #coronaviruspandemic #COVID
#Covid_19
https://t.co/5TdR7BNh9E","['covid19', 'liveupdates', 'maharashtra', 'covid19']",[],"sunday report new case death take total tally fatality 

",,"[{'score': 0.505193, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.898327, 'tone_id': 'confident', 'tone_name': 'Confident'}]",,,1.0,,1.0,,
4303,SamuelF41066614,"🇺🇸   #maga  liberals need mental help.
  #trump2020 #buildthewall",trumpville,4997,4139,6139,2018-10-25 19:32:14,2020-06-21 03:43:32,0,"Kung Flu

Say it....say it twice.  It pisses off these weak minded pansies on the left.  Wuhan Virus, Chinese Virus....say it again, they will cry, but it wont be anything like the crying they will do when Trump beats that demented old rapist/racist Biden and whatever VP he picks",[],[],"kung flu

say it....say twice piss weak minded pansy leave wuhan virus chinese virus....say cry wont anything like cry trump beat demented old rapist/racist biden whatever vp pick","[{'sentence_id': 0, 'text': 'kung flu', 'tones': []}, {'sentence_id': 1, 'text': '', 'tones': []}, {'sentence_id': 2, 'text': 'say it....say twice piss weak minded pansy leave wuhan virus chinese virus....say cry wont anything like cry trump beat demented old rapist/racist biden whatever vp pick', 'tones': [{'score': 0.580739, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.515711, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}]","[{'score': 0.607169, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.896412, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",,,1.0,1.0,,,
4304,lynch_sheree,no dms!!,n.a,77,18,2979,2014-09-11 02:45:51,2020-06-22 02:12:18,15382,"Trump was not telling a joke when he said he slowed down testing for COVID-19 to conceal its spread. No sensible person can watch the video and think he was joking. 

The President of the United States killed Americans in an effort to improve his election chances.",[],[],"trump tell joke say slow test conceal spread sensible person watch video think joke 

the president unite state kill american effort improve election chance","[{'sentence_id': 0, 'text': 'trump tell joke say slow test conceal spread sensible person watch video think joke ', 'tones': [{'score': 0.660937, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 1, 'text': '', 'tones': []}, {'sentence_id': 2, 'text': 'the president unite state kill american effort improve election chance', 'tones': [{'score': 0.562159, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.822231, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}]","[{'score': 0.865388, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.765814, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,1.0,,1.0,,,
4305,bert_vergez,n.a,n.a,13,33,8182,2013-10-11 23:28:05,2020-06-22 03:39:47,3236,"Why did the Washington Post all of a sudden remove the daily China Virus death tracker from its front page now that COVID deaths are decreasing nationwide?

I guess it just doesn’t fit their narrative anymore.

🤔",[],[],"washington post sudden remove daily china virus death tracker front page covid death decrease nationwide?

i guess doesn’t fit narrative anymore.

🤔","[{'sentence_id': 0, 'text': 'washington post sudden remove daily china virus death tracker front page covid death decrease nationwide?', 'tones': [{'score': 0.511428, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 1, 'text': 'i guess doesn’t fit narrative anymore.', 'tones': [{'score': 0.640493, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.946222, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 2, 'text': '🤔', 'tones': []}]","[{'score': 0.630541, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.893364, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",,,1.0,1.0,,,
4306,peekiequeen,"writer who loves to ponder, drink in, stroll, drink wine, breathe colour, laugh, watch rain, and eat chocolate.","ontario, canada",262,79,3235,2009-04-19 19:30:46,2020-06-22 03:21:49,339,"Mask wearing is likely to do the most good in settings where people have little choice but to interact in enclosed spaces:

🛒 Grocery shopping
🚌 Riding public transportation
🚗 Ride-sharing
💈 Getting a haircut
🩺 Seeing a doctor
https://t.co/896Mki5Xuj https://t.co/TRhbhTUfpe",[],[],"mask wear likely good setting people little choice interact enclose spaces:

 grocery shopping
 rid public transportation
 ride-sharing
 get haircut
🩺 see doctor
","[{'sentence_id': 0, 'text': 'mask wear likely good setting people little choice interact enclose spaces:', 'tones': [{'score': 0.503569, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.862286, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.786991, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 1, 'text': '', 'tones': []}, {'sentence_id': 2, 'text': ' grocery shopping', 'tones': []}, {'sentence_id': 3, 'text': ' rid public transportation', 'tones': []}, {'sentence_id': 4, 'text': ' ride-sharing', 'tones': []}, {'sentence_id': 5, 'text': ' get haircut', 'tones': []}, {'sentence_id': 6, 'text': '\U0001fa7a see doctor', 'tones': []}]","[{'score': 0.568024, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.843513, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.893364, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",1.0,1.0,,1.0,,,
4307,emmakeeley8,gchs ‘20 - sru ‘24,n.a,296,355,3016,2013-05-17 21:23:50,2020-06-23 01:27:27,45953,The reason why America isn’t recovering from COVID-19 as quickly as other countries is because we are a country that values individualism over collectivism. Nobody here wants to do anything that is a minor inconvenience to them in order to protect their neighbors.,[],[],reason america isn’t recover quickly country country value individualism collectivism nobody want anything minor inconvenience order protect neighbor,,"[{'score': 0.769135, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.5538, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",,1.0,,1.0,,,
4308,PollyWorkman,n.a,n.a,423,767,114645,2010-03-27 16:46:51,2020-06-21 02:25:28,763,"Why did the Washington Post all of a sudden remove the daily China Virus death tracker from its front page now that COVID deaths are decreasing nationwide?

I guess it just doesn’t fit their narrative anymore.

🤔",[],[],"washington post sudden remove daily china virus death tracker front page covid death decrease nationwide?

i guess doesn’t fit narrative anymore.

🤔","[{'sentence_id': 0, 'text': 'washington post sudden remove daily china virus death tracker front page covid death decrease nationwide?', 'tones': [{'score': 0.511428, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 1, 'text': 'i guess doesn’t fit narrative anymore.', 'tones': [{'score': 0.640493, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.946222, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 2, 'text': '🤔', 'tones': []}]","[{'score': 0.630541, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.893364, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",,,1.0,1.0,,,
4309,reddtrillium,n.a,n.a,94,58,4572,2019-07-19 04:59:50,2020-06-22 02:29:51,2,"#Alarming 👌🇺🇸👊🙏 A Hero Will Rise = #SteveScalise

How is it possible select [D] governors thought it was 'safe' to push COVID-19 positive elderly patients back into nursing homes [hot zones]?
...
Negligent? 
Reckless?
Who benefits the most?
Why only [D] governors? 
...

#QAnon https://t.co/bfcXO7LbEd https://t.co/I3m5CIBgHK","['alarming', 'stevescalise']",[],"hero rise 

how possible select governor think safe push positive elderly patient back nurse home hot zones]?
...
negligent 
reckless?
who benefit most?
why governor 
...

","[{'sentence_id': 0, 'text': 'hero rise ', 'tones': [{'score': 0.591107, 'tone_id': 'joy', 'tone_name': 'Joy'}]}, {'sentence_id': 1, 'text': '', 'tones': []}, {'sentence_id': 2, 'text': 'how possible select governor think safe push positive elderly patient back nurse home hot zones]?', 'tones': [{'score': 0.802757, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 3, 'text': '...', 'tones': []}, {'sentence_id': 4, 'text': 'negligent ', 'tones': []}, {'sentence_id': 5, 'text': 'reckless?', 'tones': [{'score': 0.931034, 'tone_id': 'fear', 'tone_name': 'Fear'}, {'score': 0.931034, 'tone_id': 'anger', 'tone_name': 'Anger'}]}, {'sentence_id': 6, 'text': 'who benefit most?', 'tones': [{'score': 0.642857, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.946222, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 7, 'text': 'why governor ', 'tones': []}, {'sentence_id': 8, 'text': '...', 'tones': []}]","[{'score': 0.523795, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.825432, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.647781, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",1.0,1.0,,1.0,,,
4310,aakashnilay,patriotism is for the privileged. you cannot possibly love a country that has discriminated against you and celebrated the suffering of your people.,"mumbai, india",156,57,21694,2018-03-31 17:37:24,2020-06-22 03:40:37,5,Remember a few months ago India was planning on airlifting components from China to help the local tech industry owing to Covid-19 supply disruptions? So much for the boycott bravado and #AtmaWhatever .LOL. 😂 https://t.co/MNRSUOlDRg https://t.co/AHnvtJU5bb,[],[],remember month ago india planning airlift component china help local tech industry owe supply disruption much boycott bravado lol,,[],,,,,,,
